"Target","Evidence"
"B4GALT6","predicted (union)"
"B4GALT7","predicted (intersection) + predicted (union)"
"B4GAT1","predicted (intersection) + predicted (union)"
"BAAT","predicted (intersection) + predicted (union)"
"BACE1","predicted (intersection) + predicted (union)"
"BACE2","predicted (intersection) + predicted (union)"
"BACH1","experimental (all) + predicted (intersection) + predicted (union)"
"BACH2","predicted (intersection) + predicted (union)"
"BAG2","predicted (union)"
"BAG5","predicted (union)"
"BAHCC1","experimental (all) + predicted (union)"
"BAHD1","predicted (union)"
"BAIAP2","predicted (union)"
"BAK1","predicted (intersection) + predicted (union)"
"BAMBI","predicted (intersection) + predicted (union)"
"BAP1","predicted (union)"
"BARD1","predicted (union)"
"BASP1","predicted (union)"
"BATF2","predicted (union)"
"BAX","predicted (union)"
"BAZ1B","experimental (all)"
"BAZ2B","predicted (union)"
"BBIP1","predicted (union)"
"BBS4","predicted (union)"
"BBS5","predicted (union)"
"BBX","predicted (intersection) + predicted (union)"
"BCAM","predicted (intersection) + predicted (union)"
"BCAP29","predicted (intersection) + predicted (union)"
"BCAR1","predicted (union)"
"BCAS2","predicted (intersection) + predicted (union)"
"BCAS4","predicted (intersection) + predicted (union)"
"BCAT1","predicted (intersection) + predicted (union)"
"BCCIP","predicted (union)"
"BCDIN3D","predicted (union)"
"BCKDHB","predicted (intersection) + predicted (union)"
"BCKDK","predicted (intersection) + predicted (union)"
"BCL10","predicted (union)"
"BCL11B","predicted (union)"
"BCL2","predicted (intersection) + predicted (union)"
"BCL2L1","predicted (intersection) + predicted (union)"
"BCL2L13","predicted (intersection) + predicted (union)"
"BCL2L15","predicted (union)"
"BCL2L2","predicted (intersection) + predicted (union)"
"BCL7A","predicted (union)"
"BCL7B","predicted (intersection) + predicted (union)"
"BCL7C","predicted (intersection) + predicted (union)"
"BCL9L","predicted (intersection) + predicted (union)"
"BCO2","predicted (union)"
"BCORL1","predicted (union)"
"BCR","predicted (union)"
"BDH1","predicted (intersection) + predicted (union)"
"BDH2","predicted (intersection) + predicted (union)"
"BDNF","predicted (union)"
"BDP1","predicted (union)"
"BEAN1","predicted (union)"
"BECN1","predicted (intersection) + predicted (union)"
"BEGAIN","predicted (intersection) + predicted (union)"
"BEND4","experimental (all) + predicted (intersection) + predicted (union)"
"BEND6","predicted (union)"
"BEST2","predicted (intersection) + predicted (union)"
"BEST3","predicted (intersection) + predicted (union)"
"BET1","predicted (union)"
"BET1L","predicted (union)"
"BFAR","predicted (intersection) + predicted (union)"
"BHLHE40","predicted (union)"
"BHLHE41","predicted (union)"
"BHMT2","predicted (union)"
"BICD1","predicted (union)"
"BICD2","predicted (union)"
"BICRA","predicted (union)"
"BID","predicted (union)"
"BIN3","predicted (intersection) + predicted (union)"
"BIRC3","predicted (union)"
"BIRC6","predicted (union)"
"BLOC1S2","predicted (union)"
"BLOC1S3","predicted (union)"
"BLOC1S4","predicted (intersection) + predicted (union)"
"BLOC1S5","predicted (union)"
"BLOC1S6","predicted (intersection) + predicted (union)"
"BLVRA","predicted (union)"
"BLZF1","predicted (union)"
"BMERB1","predicted (union)"
"BMF","predicted (union)"
"BMP10","predicted (intersection) + predicted (union)"
"BMP2","predicted (intersection) + predicted (union)"
"BMP2K","experimental (all) + predicted (union)"
"BMP3","predicted (union)"
"BMP5","predicted (intersection) + predicted (union)"
"BMP6","predicted (union)"
"BMP8A","predicted (intersection) + predicted (union)"
"BMPR1A","predicted (intersection) + predicted (union)"
"BMPR2","predicted (union)"
"BMS1","predicted (union)"
"BMT2","predicted (intersection) + predicted (union)"
"BNC2","predicted (union)"
"BNIP2","predicted (union)"
"BNIPL","predicted (union)"
"BOC","predicted (union)"
"BOLL","predicted (union)"
"BPHL","predicted (union)"
"BPNT1","predicted (union)"
"BPTF","predicted (union)"
"BRAP","predicted (union)"
"BRCC3","predicted (intersection) + predicted (union)"
"BRD3","predicted (intersection) + predicted (union)"
"BRD4","predicted (intersection) + predicted (union)"
"BRF1","predicted (union)"
"BRF2","predicted (intersection) + predicted (union)"
"BRI3","experimental (all)"
"BRI3BP","experimental (all) + predicted (intersection) + predicted (union)"
"BRIP1","predicted (intersection) + predicted (union)"
"BRIX1","predicted (union)"
"BRMS1L","predicted (intersection) + predicted (union)"
"BROX","predicted (union)"
"BRPF3","predicted (union)"
"BRS3","predicted (union)"
"BRWD1","predicted (intersection) + predicted (union)"
"BRWD3","predicted (intersection) + predicted (union)"
"BSDC1","experimental (all) + predicted (intersection) + predicted (union)"
"BSN","predicted (union)"
"BTAF1","predicted (union)"
"BTBD19","predicted (intersection) + predicted (union)"
"BTBD7","predicted (intersection) + predicted (union)"
"BTBD9","predicted (intersection) + predicted (union)"
"BTD","predicted (intersection) + predicted (union)"
"BTF3","predicted (union)"
"BTF3L4","predicted (intersection) + predicted (union)"
"BTG1","predicted (union)"
"BTG2","predicted (union)"
"BTLA","predicted (intersection) + predicted (union)"
"BTN1A1","predicted (union)"
"BTN2A1","predicted (intersection) + predicted (union)"
"BTN3A1","predicted (union)"
"BTRC","experimental (all) + predicted (intersection) + predicted (union)"
"BUB1B","predicted (union)"
"BVES","predicted (union)"
"BYSL","predicted (intersection) + predicted (union)"
"BZW1","experimental (all) + predicted (intersection) + predicted (union)"
"BZW2","predicted (intersection) + predicted (union)"
"C10orf105","predicted (intersection) + predicted (union)"
"C10orf53","predicted (union)"
"C10orf99","predicted (union)"
"C11orf1","predicted (intersection) + predicted (union)"
"C11orf45","predicted (intersection) + predicted (union)"
"C11orf54","predicted (intersection) + predicted (union)"
"C11orf58","predicted (intersection) + predicted (union)"
"C11orf68","predicted (union)"
"C11orf74","predicted (union)"
"C11orf86","predicted (intersection) + predicted (union)"
"C11orf87","predicted (union)"
"C11orf91","experimental (all)"
"C11orf98","predicted (intersection) + predicted (union)"
"C12orf4","experimental (all) + predicted (intersection) + predicted (union)"
"C12orf40","predicted (union)"
"C12orf49","experimental (all) + predicted (intersection) + predicted (union)"
"C12orf56","predicted (union)"
"C12orf66","predicted (union)"
"C12orf73","predicted (union)"
"C14orf119","predicted (union)"
"C14orf132","predicted (union)"
"C14orf28","predicted (intersection) + predicted (union)"
"C15orf41","predicted (intersection) + predicted (union)"
"C16orf72","predicted (intersection) + predicted (union)"
"C16orf87","predicted (union)"
"C17orf107","predicted (union)"
"C17orf53","predicted (union)"
"C17orf64","predicted (union)"
"C17orf75","predicted (union)"
"C17orf97","predicted (union)"
"C18orf21","predicted (intersection) + predicted (union)"
"C19orf12","predicted (intersection) + predicted (union)"
"C19orf24","predicted (union)"
"C19orf47","experimental (all) + predicted (intersection) + predicted (union)"
